date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:10	74809/74809	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2019:40:08%20GMT	https://billionday-sale.xyz/fkk/upload/product/7754230918194012.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/7754230918194012.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:10	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:36%20GMT	https://billionday-sale.xyz/fkk/single-products/138	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/138	(from https://billionday-sale.xyz/fkk/)
17:34:10	25975/25975	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Oct%202023%2013:23:02%20GMT	https://billionday-sale.xyz/fkk/single-products/138/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/138/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:11	177612/177612	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2018:32:46%20GMT	https://billionday-sale.xyz/fkk/upload/product/6414230918193655.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/6414230918193655.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:11	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:37%20GMT	https://billionday-sale.xyz/fkk/single-products/137	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/137	(from https://billionday-sale.xyz/fkk/)
17:34:12	22529/22529	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Oct%202023%2010:59:32%20GMT	https://billionday-sale.xyz/fkk/single-products/137/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/137/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:13	105363/105363	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2018:52:50%20GMT	https://billionday-sale.xyz/fkk/upload/product/3149230918193244.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/3149230918193244.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:13	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:39%20GMT	https://billionday-sale.xyz/fkk/single-products/136	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/136	(from https://billionday-sale.xyz/fkk/)
17:34:13	21393/21393	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2020:25:18%20GMT	https://billionday-sale.xyz/fkk/single-products/136/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/136/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:14	26907/26907	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2020:28:38%20GMT	https://billionday-sale.xyz/fkk/upload/product/3100230918192859.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/3100230918192859.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:14	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:40%20GMT	https://billionday-sale.xyz/fkk/single-products/135	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/135	(from https://billionday-sale.xyz/fkk/)
17:34:14	22426/22426	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2017:36:30%20GMT	https://billionday-sale.xyz/fkk/single-products/135/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/135/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:15	63834/63834	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2017:19:44%20GMT	https://billionday-sale.xyz/fkk/upload/product/8772230918192535.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/8772230918192535.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:15	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:41%20GMT	https://billionday-sale.xyz/fkk/single-products/134	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/134	(from https://billionday-sale.xyz/fkk/)
17:34:16	21076/21076	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2021:03:00%20GMT	https://billionday-sale.xyz/fkk/single-products/134/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/134/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:16	141857/141857	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2021:07:34%20GMT	https://billionday-sale.xyz/fkk/upload/product/9815230918192005.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/9815230918192005.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:17	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:42%20GMT	https://billionday-sale.xyz/fkk/single-products/133	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/133	(from https://billionday-sale.xyz/fkk/)
17:34:17	21560/21560	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2021:32:54%20GMT	https://billionday-sale.xyz/fkk/single-products/133/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/133/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:18	250608/250608	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2021:33:18%20GMT	https://billionday-sale.xyz/fkk/upload/product/7698230918191317.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/7698230918191317.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:18	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:44%20GMT	https://billionday-sale.xyz/fkk/single-products/132	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/132	(from https://billionday-sale.xyz/fkk/)
17:34:19	22178/22178	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2006:59:32%20GMT	https://billionday-sale.xyz/fkk/single-products/132/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/132/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:19	42585/42585	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Sep%202023%2006:59:52%20GMT	https://billionday-sale.xyz/fkk/upload/product/4977230918190831.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/4977230918190831.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:19	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:45%20GMT	https://billionday-sale.xyz/fkk/single-products/131	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/131	(from https://billionday-sale.xyz/fkk/)
17:34:20	20274/20274	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2016:24:34%20GMT	https://billionday-sale.xyz/fkk/single-products/131/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/131/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:20	15164/15164	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2023:24:28%20GMT	https://billionday-sale.xyz/fkk/upload/product/9877230918190501.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/9877230918190501.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:20	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:46%20GMT	https://billionday-sale.xyz/fkk/single-products/130	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/130	(from https://billionday-sale.xyz/fkk/)
17:34:21	22950/22950	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2006:19:58%20GMT	https://billionday-sale.xyz/fkk/single-products/130/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/130/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:22	104646/104646	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2006:44:52%20GMT	https://billionday-sale.xyz/fkk/upload/product/7669230918182552.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/7669230918182552.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:22	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:48%20GMT	https://billionday-sale.xyz/fkk/single-products/129	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/129	(from https://billionday-sale.xyz/fkk/)
17:34:22	20941/20941	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2006:24:38%20GMT	https://billionday-sale.xyz/fkk/single-products/129/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/129/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:23	129991/129991	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2006:44:52%20GMT	https://billionday-sale.xyz/fkk/upload/product/3336230908150324.png	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/3336230908150324.png	(from https://billionday-sale.xyz/fkk/)
17:34:23	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:49%20GMT	https://billionday-sale.xyz/fkk/single-products/128	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/128	(from https://billionday-sale.xyz/fkk/)
